100	55
120	58
144	62
172	71
206	73
247	87
296	86
355	93
426	99
511	107
613	116
735	127
882	139
1058	133
1269	153
1522	162
1826	164
2191	165
2629	185
3154	192
3784	196
4540	209
5448	222
6537	228
7844	241
9412	246
11294	247
13552	278
16262	293
19514	295
23416	296
28099	310
33718	344
40461	341
48553	361
58263	367
69915	381
83898	375
