100	529.3
120	500.708
144	575.146
172	579.122
206	633.277
247	680.409
296	721.889
355	736.462
426	754.343
511	793.182
613	859.361
735	891.11
882	917.16
1058	950.66
1269	995.084
1522	1003.456
1826	1036.911
2191	1084.23
2629	1123.081
3154	1188.205
3784	1225.524
4540	1289.183
5448	1350.078
6537	1390.819
7844	1461.719
9412	1520.172
11294	1545.784
13552	1600.327
16262	1670.578
19514	1693.152
23416	1740.66
28099	1810.27
33718	1853.563
40461	1867.022
48553	1917.355
58263	1995.767
69915	2055.954
83898	2146.398
