100	241.29
120	290.767
144	335.708
172	391.953
206	422.655
247	478.186
296	533.284
355	601.101
426	657.62
511	712.159
613	781.214
735	852.639
882	923.237
1058	1002.078
1269	1097.706
1522	1170.916
1826	1244.942
2191	1342.17
2629	1444.507
3154	1516.192
3784	1616.021
4540	1711.698
5448	1827.281
6537	1916.831
7844	2022.144
9412	2153.347
11294	2261.136
13552	2380.979
16262	2508.083
19514	2647.064
23416	2752.453
28099	2873.452
33718	3009.631
40461	3152.824
48553	3258.463
58263	3388.059
69915	3542.946
83898	3680.826
